time_s,distance_m,ax_mps2,ay_mps2,az_mps2,gx_radps,gy_radps,gz_radps,accel_mag,gyro_mag,jerk
2.2,1.54,-0.00638,-0.02581,9.85119,0.00069,-0.00798,-0.00523,9.85122,0.00957,0.98507
2.22,1.554,0.0146,-0.01746,9.84524,0.00329,-0.0047,-0.01179,9.84526,0.01311,-0.29798
2.24,1.568,0.01827,-0.02518,9.86662,-0.00083,-0.00397,-0.0155,9.86667,0.01602,1.07018
2.26,1.582,0.03986,-0.02175,9.85945,0.00683,-0.00678,-0.01206,9.85955,0.01543,-0.35567
2.28,1.596,0.03707,-0.02173,9.86264,0.00262,-0.0044,-0.0151,9.86274,0.01594,0.15917
2.3,1.61,0.05087,-0.0196,9.86287,0.00222,-0.00647,-0.01274,9.86302,0.01446,0.01407
2.32,1.624,0.07851,-0.04036,9.86667,0.00774,-0.00139,-0.00682,9.86707,0.01041,0.20258
2.34,1.638,0.04158,-0.02346,9.87021,0.00865,-0.00874,-0.01765,9.87033,0.02151,0.16301
2.36,1.652,0.0452,0.0123,9.89392,0.00152,-0.0035,-0.01536,9.89403,0.01583,1.18506
2.38,1.666,-0.00476,-0.0007,9.88127,-0.0005,-0.00321,-0.01482,9.88127,0.01517,-0.63814
2.4,1.68,-0.02404,-0.00288,9.87661,-0.00278,-0.00257,-0.01715,9.87664,0.01756,-0.23115
2.42,1.694,-0.00538,-0.02583,9.88667,0.00026,0.00019,-0.00991,9.88671,0.00992,0.50329
2.44,1.708,-0.03348,-0.00424,9.83508,0.00182,-0.0047,-0.02373,9.83514,0.02426,-2.57853
2.46,1.722,-0.03082,-0.00709,9.88404,0.00001,-0.0023,-0.00998,9.88409,0.01024,2.44777
2.48,1.736,-0.10192,-0.01032,9.90155,0.00071,-0.00524,-0.01489,9.90208,0.0158,0.89903
2.5,1.75,-0.09638,-0.02879,9.89819,0.00136,-0.00778,-0.01171,9.8987,0.01413,-0.16856
2.52,1.764,-0.06986,-0.01549,9.85841,0.00071,-0.00292,-0.0126,9.85867,0.01295,-2.00158
2.54,1.778,-0.10945,0.02632,9.86402,0.00031,-0.00097,-0.01037,9.86466,0.01042,0.29946
2.56,1.792,-0.06528,-0.01412,9.88039,-0.00281,-0.00205,-0.0104,9.88061,0.01097,0.79763
2.58,1.806,-0.08269,-0.01273,9.88602,0.0033,-0.00196,-0.01147,9.88637,0.0121,0.28789
2.6,1.82,-0.07106,0.00699,9.84616,-0.00315,-0.00177,-0.01529,9.84642,0.01571,-1.99743
2.62,1.834,-0.05197,-0.00457,9.87935,0.00085,-0.00598,-0.01363,9.87949,0.01491,1.65324
2.64,1.848,-0.04722,0.01116,9.83235,-0.00033,-0.00144,-0.01516,9.83247,0.01524,-2.35079
2.66,1.862,-0.03059,-0.00577,9.87496,-0.00287,0.00075,-0.00698,9.87501,0.00759,2.12689
2.68,1.876,-0.05808,0.01531,9.84033,0.00024,-0.00314,-0.01699,9.84052,0.01728,-1.72475
2.7,1.89,-0.03016,0.02851,9.8517,-0.00273,0.00101,-0.01187,9.85179,0.01222,0.56367
2.72,1.904,-0.00479,0.01951,9.85097,-0.00319,0.00205,-0.00731,9.85099,0.00824,-0.0397
2.74,1.918,-0.02458,-0.00776,9.85523,-0.00191,-0.00115,-0.00549,9.85527,0.00593,0.21364
2.76,1.932,-0.01555,0.01466,9.85515,0.00167,-0.00202,-0.01734,9.85517,0.01754,-0.00488
2.78,1.946,-0.00746,0.01691,9.87257,0.00145,-0.00478,-0.00927,9.87259,0.01053,0.87087
2.8,1.96,0.0123,-0.01202,9.84413,-0.00468,-0.00409,-0.01075,9.84415,0.01241,-1.42186
2.82,1.974,-0.00116,0.02919,9.83336,-0.00164,-0.00234,-0.01416,9.8334,0.01444,-0.53748
2.84,1.988,0.03645,0.01041,9.85405,0.00289,0.00167,-0.00952,9.85412,0.01009,1.03609
2.86,2.002,0.02105,0.03696,9.85604,-0.00494,0.00255,-0.02552,9.85613,0.02612,0.10034
2.88,2.016,-0.00034,0.00605,9.81325,-0.00486,0.00323,-0.01003,9.81325,0.0116,-2.14405
2.9,2.03,0.04083,0.06026,9.8184,-0.00723,-0.00105,-0.01655,9.81867,0.01809,0.27089
2.92,2.044,0.05298,0.01771,9.84148,-0.00253,-0.00726,-0.01601,9.84164,0.01776,1.14859
2.94,2.058,0.07896,0.01596,9.83949,-0.00671,0.00813,-0.00383,9.83982,0.01121,-0.09073
2.96,2.072,0.08013,0.03206,9.83162,-0.00138,0.00663,-0.01486,9.832,0.01633,-0.39135
2.98,2.086,0.10796,-0.00609,9.85051,-0.00794,0.00311,-0.00842,9.8511,0.01198,0.95527
3,2.1,0.1099,0.0309,9.79243,-0.00476,0.00442,-0.00198,9.7931,0.00679,-2.90024
3.02,2.114,0.12323,0.02542,9.80623,-0.00746,0.00179,-0.01436,9.80704,0.01628,0.69711
3.04,2.128,0.11627,0.0184,9.80386,-0.00461,0.00731,-0.00748,9.80457,0.01143,-0.12351
3.06,2.142,0.12556,0.02332,9.80077,-0.00293,0.00431,-0.00997,9.80161,0.01125,-0.14815
3.08,2.156,0.10239,0.02143,9.84093,-0.00723,-0.0004,-0.00305,9.84148,0.00786,1.99394
3.1,2.17,0.0788,0.03377,9.78934,-0.00833,0.00016,-0.00452,9.78972,0.00948,-2.58831
3.12,2.184,0.05516,0.01956,9.79262,-0.00026,0.01073,-0.00322,9.7928,0.01121,0.15385
3.14,2.198,0.02743,0.05054,9.79865,-0.0072,0.0058,-0.00391,9.79882,0.01004,0.30118
3.16,2.212,0.00409,0.03233,9.81049,-0.0066,0.00491,-0.01121,9.81054,0.01391,0.58603
3.18,2.226,0.0241,0.05615,9.81853,-0.00722,0.00181,-0.00662,9.81872,0.00996,0.40925
3.2,2.24,-0.02365,0.02083,9.76526,-0.01125,0.00981,-0.00229,9.76531,0.01511,-2.67073
3.22,2.254,-0.0356,0.04263,9.79804,-0.00694,0.00603,0.00305,9.7982,0.00969,1.64439
3.24,2.268,-0.06296,0.02839,9.7897,-0.00535,0.00807,-0.00253,9.78995,0.01001,-0.41253
3.26,2.282,-0.06384,0.01306,9.76716,-0.00498,-0.00134,0.00143,9.76738,0.00535,-1.12832
3.28,2.296,-0.06243,0.04302,9.75963,-0.00735,0.00409,0.0007,9.75993,0.00844,-0.37268
3.3,2.31,-0.01422,0.02154,9.76627,-0.00664,0.01013,0.0048,9.76631,0.01303,0.31906
3.32,2.324,-0.03695,0.02037,9.74818,-0.00839,0.00709,0.00197,9.74827,0.01116,-0.90193
3.34,2.338,-0.01764,0.02759,9.75699,-0.00863,0.00262,-0.00108,9.75704,0.00909,0.43873
3.36,2.352,-0.00235,0.05722,9.7558,-0.00487,-0.00114,-0.00487,9.75597,0.00698,-0.05359
3.38,2.366,0.0052,0.05131,9.72448,-0.00813,0.00788,0.00628,9.72462,0.01295,-1.56759
3.4,2.38,0.02594,0.04617,9.76323,-0.01308,0.00576,-0.00265,9.76337,0.01453,1.93755
3.42,2.394,0.02204,0.04649,9.75439,-0.01057,0.00896,-0.00591,9.75453,0.01506,-0.44206
3.44,2.408,0.0489,0.05269,9.74286,-0.00662,0.00313,-0.00481,9.74313,0.00876,-0.57007
3.46,2.422,0.03418,0.08102,9.77387,-0.00765,0.008,0.00174,9.77426,0.01121,1.55667
3.48,2.436,0.07548,0.04291,9.76667,-0.00387,0.00635,0.01006,9.76706,0.01251,-0.36035
3.5,2.45,0.07093,0.03596,9.75398,-0.0101,0.01326,-0.00076,9.75431,0.01669,-0.63732
3.52,2.464,0.07758,0.05621,9.7339,-0.00964,0.00586,0.01233,9.73437,0.01671,-0.99708
3.54,2.478,0.05348,0.04827,9.71619,-0.01153,0.00328,0.00902,9.71646,0.015,-0.89538
3.56,2.492,0.06867,0.02898,9.74198,-0.00787,0.01378,0.00216,9.74227,0.01602,1.29033
3.58,2.506,0.09109,0.04216,9.75781,-0.00871,0.00846,0.00869,9.75833,0.01494,0.80296
3.6,2.52,0.07933,0.03789,9.74616,-0.0053,0.00858,0.00815,9.74656,0.01297,-0.58852
3.62,2.534,0.07176,0.053,9.76893,-0.01063,0.01132,0.01045,9.76934,0.01872,1.13908
3.64,2.548,0.0707,0.02961,9.75935,-0.01373,0.01057,-0.00031,9.75965,0.01733,-0.48434
3.66,2.562,0.10728,0.0691,9.74625,-0.01378,0.007,0.0076,9.74709,0.01722,-0.62812
3.68,2.576,0.10322,0.04663,9.77755,-0.00956,0.0092,0.0107,9.77821,0.01705,1.55607
3.7,2.59,0.09872,0.01279,9.76815,-0.0118,0.01079,0.01545,9.76866,0.02223,-0.47734
3.72,2.604,0.12381,0.04179,9.75531,-0.01034,0.00819,0.01064,9.75619,0.01695,-0.62379
3.74,2.618,0.11584,0.03849,9.75719,-0.00718,0.01026,0.01061,9.75796,0.01641,0.08846
3.76,2.632,0.12862,0.03152,9.73906,-0.00814,0.01482,0.01405,9.73996,0.02198,-0.89957
3.78,2.646,0.10218,0.009,9.75405,-0.0096,0.00719,0.01095,9.75459,0.01624,0.73146
3.8,2.66,0.05473,0.05414,9.76907,-0.00929,0.00588,0.00722,9.76937,0.01315,0.73891
3.82,2.674,0.08823,0.06019,9.77828,-0.01028,0.00697,0.01005,9.77887,0.01598,0.47473
3.84,2.688,0.04987,0.02255,9.75928,-0.00304,0.01001,0.00718,9.75944,0.01269,-0.97149
3.86,2.702,0.01789,0.03312,9.76726,-0.01065,0.0057,0.01254,9.76733,0.01741,0.39479
3.88,2.716,0.00653,0.03318,9.79697,-0.00826,0.00967,0.01402,9.79702,0.01893,1.48462
3.9,2.73,-0.02016,0.03552,9.82887,-0.0081,0.00876,0.01561,9.82896,0.01965,1.59654
3.92,2.744,-0.04397,0.02248,9.7765,-0.01023,0.01049,0.01848,9.77662,0.02358,-2.6167
3.94,2.758,-0.08867,0.03525,9.79336,-0.01092,0.00504,0.01289,9.79383,0.01763,0.8602
3.96,2.772,-0.09304,0.02138,9.79621,-0.00713,0.00848,0.01403,9.79667,0.01787,0.14247
3.98,2.786,-0.09002,0.00892,9.79571,-0.00956,0.01085,0.01622,9.79613,0.02173,-0.0274
4,2.8,-0.0983,0.015,9.80976,-0.01243,0.00768,0.01245,9.81026,0.0192,0.70675
4.02,2.814,-0.06584,0.0229,9.80605,-0.00902,0.00508,0.0137,9.80629,0.01717,-0.19835
4.04,2.828,-0.07373,0.05054,9.82926,-0.00793,0.00913,0.01696,9.82966,0.02083,1.16841
4.06,2.842,-0.07793,0.011,9.80883,-0.01208,-0.00037,0.01541,9.80914,0.01958,-1.02593
4.08,2.856,-0.04089,-0.00891,9.8061,-0.01432,0.00525,0.02038,9.80619,0.02546,-0.14757
4.1,2.87,-0.02204,0.03613,9.78792,-0.00969,0.0048,0.00756,9.78801,0.0132,-0.90903
4.12,2.884,0.0289,0.01194,9.81732,-0.00969,0.00933,0.01531,9.81737,0.02038,1.46802
4.14,2.898,-0.02551,0.01993,9.83662,-0.00627,0.00638,0.01324,9.83667,0.01598,0.96486
4.16,2.912,-0.01245,0.02051,9.85755,-0.00668,0.0047,0.01533,9.85758,0.01737,1.04532
4.18,2.926,0.0155,0.02015,9.8568,-0.00847,0.00394,0.01113,9.85683,0.01453,-0.0373
4.2,2.94,0.01525,0.01794,9.80934,-0.00418,0.00289,0.01367,9.80937,0.01459,-2.3732
4.22,2.954,0.00917,0.02076,9.83505,-0.01356,0.00904,0.00841,9.83508,0.01834,1.28562
4.24,2.968,0.02579,-0.00808,9.83896,-0.01119,0.00518,0.0123,9.839,0.01741,0.19584
4.26,2.982,0.01079,0.00129,9.8382,-0.0114,0.00466,0.02071,9.8382,0.02409,-0.03966
4.28,2.996,0.037,-0.00225,9.86533,-0.00764,0.00542,0.00754,9.8654,0.01202,1.36008
4.3,3.01,-0.00333,0.01295,9.83363,-0.00489,0.00134,0.01306,9.83364,0.01401,-1.58824
4.32,3.024,0.02541,-0.0076,9.84881,-0.01016,0.00397,0.01523,9.84885,0.01873,0.7605
4.34,3.038,0.00316,0.01612,9.83324,-0.00989,0.00136,0.01414,9.83325,0.01731,-0.77979
4.36,3.052,-0.01112,0.00217,9.85446,-0.00638,0.00209,0.02055,9.85446,0.02161,1.06043
4.38,3.066,0.00239,-0.00839,9.86267,-0.00572,0.0042,0.00984,9.86268,0.01213,0.41081
4.4,3.08,0.03552,0.01946,9.85474,-0.01288,0.00181,0.0142,9.85483,0.01925,-0.39263
4.42,3.094,0.008,-0.01756,9.87325,-0.00853,0.00771,0.01061,9.87327,0.01565,0.92221
4.44,3.108,0.01161,-0.0247,9.88643,-0.01012,0.00201,0.01019,9.88646,0.0145,0.65974
4.46,3.122,0.0116,-0.00764,9.87332,-0.01148,0.00547,0.01846,9.87333,0.02242,-0.65681
4.48,3.136,0.03692,-0.03739,9.86601,-0.00784,0.00458,0.01702,9.86615,0.01929,-0.35907
4.5,3.15,0.01003,-0.03024,9.88723,-0.00509,0.00622,0.0113,9.88728,0.01386,1.05663
4.52,3.164,0.01161,-0.01221,9.84644,-0.00813,-0.00166,0.01036,9.84646,0.01328,-2.0412
4.54,3.178,-0.00176,-0.02811,9.85993,-0.00334,0.00331,0.01326,9.85997,0.01407,0.67557
4.56,3.192,-0.02853,-0.01673,9.88592,-0.009,0.00516,0.01088,9.88598,0.01504,1.30052
4.58,3.206,-0.06401,-0.00669,9.89405,-0.00534,0.00145,0.00755,9.89426,0.00936,0.41425
4.6,3.22,-0.07103,0.01185,9.8966,-0.00933,0.00335,0.00752,9.89686,0.01244,0.12991
4.62,3.234,-0.10416,-0.01417,9.86575,-0.00609,0.00053,0.01352,9.86631,0.01484,-1.52749
4.64,3.248,-0.12677,0.00719,9.86951,-0.00491,-0.0054,0.01152,9.87033,0.01364,0.20086
4.66,3.262,-0.1352,-0.04023,9.86199,-0.00154,-0.00087,0.00064,9.863,0.00188,-0.36641
4.68,3.276,-0.13979,-0.03405,9.87838,-0.00197,-0.00084,0.0109,9.87943,0.01111,0.82142
4.7,3.29,-0.14499,-0.0112,9.86725,-0.00724,-0.00141,0.00921,9.86832,0.0118,-0.55534
4.72,3.304,-0.13698,-0.0195,9.86679,-0.00112,-0.00266,0.01028,9.86776,0.01068,-0.02804
4.74,3.318,-0.13116,-0.01777,9.89325,-0.00157,-0.00145,0.00161,9.89413,0.00268,1.31861
4.76,3.332,-0.14767,-0.05618,9.86964,-0.00298,-0.00531,0.01322,9.87091,0.01456,-1.16129
4.78,3.346,-0.1057,-0.03693,9.81794,-0.00288,-0.00227,0.00609,9.81858,0.00711,-2.61623
4.8,3.36,-0.0774,-0.02978,9.85705,-0.00271,-0.005,0.00394,9.8574,0.00692,1.94099
4.82,3.374,-0.09071,-0.01111,9.84616,-0.00339,-0.00626,0.00878,9.84659,0.0113,-0.54084
4.84,3.388,-0.05888,-0.01879,9.83696,-0.00073,-0.00341,0.00493,9.83716,0.00604,-0.47135
4.86,3.402,-0.04928,-0.03298,9.82212,-0.00215,-0.00297,0.0041,9.8223,0.0055,-0.74279
4.88,3.416,-0.01567,-0.0364,9.8664,-0.00995,-0.0064,0.00263,9.86648,0.01212,2.20897
4.9,3.43,-0.01001,-0.05315,9.83388,-0.00397,-0.00896,0.00851,9.83403,0.01298,-1.62271
4.92,3.444,0.00035,-0.02699,9.83473,0.00404,-0.00476,-0.00578,9.83476,0.00851,0.03685
4.94,3.458,0.01797,-0.0655,9.84915,-0.00091,-0.00478,0.00012,9.84939,0.00487,0.73111
4.96,3.472,0.03244,-0.01581,9.83789,-0.00766,-0.00552,0.00136,9.83795,0.00953,-0.5717
